SizeDataset;TrainPercent;sizeTrainDataset;sizeTestDataset;mse;mape
51;0.32;16;35;0.0681921858466;3.71715847133
51;0.33;16;35;0.0681921858466;3.71715847133
51;0.34;17;34;0.0699435639895;3.77792994046
51;0.35;17;34;0.0699435639895;3.77792994046
51;0.36;18;33;0.0751268382736;3.95638667655
51;0.37;18;33;0.0751268382736;3.95638667655
51;0.38;19;32;0.0772758643764;4.03555810883
51;0.39;19;32;0.0772758643764;4.03555810883
51;0.4;20;31;0.0797602039016;4.15624067921
51;0.41;20;31;0.0797602039016;4.15624067921
51;0.42;21;30;0.0761512935736;3.98933866488
51;0.43;21;30;0.0761512935736;3.98933866488
51;0.44;22;29;0.0718676077437;3.81748709554
51;0.45;22;29;0.0718676077437;3.81748709554
51;0.46;23;28;0.0575531662692;3.37962071423
51;0.47;23;28;0.0575531662692;3.37962071423
51;0.48;24;27;0.0582680183572;3.3378181343
51;0.49;24;27;0.0582680183572;3.3378181343
51;0.5;25;26;0.064481610164;3.41570239117
51;0.51;26;25;0.0670394218708;3.53437434868
51;0.52;26;25;0.0670394218708;3.53437434868
51;0.53;27;24;0.069562691949;3.61456927302
51;0.54;27;24;0.069562691949;3.61456927302
51;0.55;28;23;0.0717738337548;3.62156698773
51;0.56;28;23;0.0717738337548;3.62156698773
51;0.57;29;22;0.0667715737534;3.44536441794
51;0.58;29;22;0.0667715737534;3.44536441794
51;0.59;30;21;0.0663041534994;3.3964738951
51;0.6;30;21;0.0663041534994;3.3964738951
51;0.61;31;20;0.0671657573774;3.41501373897
51;0.62;31;20;0.0671657573774;3.41501373897
51;0.63;32;19;0.0702216365602;3.50522676162
51;0.64;32;19;0.0702216365602;3.50522676162
51;0.65;33;18;0.07310857436;3.5548583427
51;0.66;33;18;0.07310857436;3.5548583427
51;0.67;34;17;0.0773262926279;3.72378047445
51;0.68;34;17;0.0773262926279;3.72378047445
51;0.69;35;16;0.0820641566542;3.91213525365
51;0.7;35;16;0.0820641566542;3.91213525365
51;0.71;36;15;0.0874903502727;4.14132749349
51;0.72;36;15;0.0874903502727;4.14132749349
51;0.73;37;14;0.0936872666671;4.40208647269
51;0.74;37;14;0.0936872666671;4.40208647269
51;0.75;38;13;0.096841466425;4.45146567941
51;0.76;38;13;0.096841466425;4.45146567941
51;0.77;39;12;0.104631845153;4.65947301431
51;0.78;39;12;0.104631845153;4.65947301431
51;0.79;40;11;0.113820829079;4.98124644134
